Time,Pressure,Volume,PhysicalFlow,CalcFlow,Mode,RR,TV,IERatio,PIP
15.161739826202393,-0.03,0.0,4.8,6.9,VCV,15,500,1:2,20
15.396288871765137,-0.03,42.9,-1.1,17.9,VCV,15,500,1:2,20
15.64700198173523,0.04,143.1,18.7,43.4,VCV,15,500,1:2,20
15.897753953933716,2.48,306.9,25.7,45.0,VCV,15,500,1:2,20
16.147924423217773,14.16,434.3,42.8,23.6,VCV,15,500,1:2,20
16.398067235946655,21.59,490.2,12.0,9.4,VCV,15,500,1:2,20
16.648261547088623,23.79,480.0,-40.9,-9.0,VCV,15,500,1:2,20
16.898396492004395,16.13,438.5,25.6,-13.3,VCV,15,500,1:2,20
17.149914979934692,7.87,379.8,41.6,-19.4,VCV,15,500,1:2,20
17.404841423034668,3.51,298.6,58.9,-22.5,VCV,15,500,1:2,20
17.65071201324463,1.99,215.5,60.3,-22.5,VCV,15,500,1:2,20
17.9014892578125,0.93,132.5,64.3,-20.7,VCV,15,500,1:2,20
18.151695489883423,0.55,69.2,58.6,-14.1,VCV,15,500,1:2,20
18.405110359191895,0.16,25.4,20.2,-9.6,VCV,15,500,1:2,20
18.6543550491333,0.08,0.0,39.0,0.0,VCV,15,500,1:2,20
18.90448498725891,0.04,0.0,54.3,0.0,VCV,15,500,1:2,20
19.179019927978516,0.02,0.0,62.3,6.9,VCV,15,500,1:2,20
19.411842823028564,-0.01,35.5,40.5,16.0,VCV,15,500,1:2,20
19.661915063858032,-0.0,126.5,33.2,39.2,VCV,15,500,1:2,20
19.912596225738525,4.48,288.0,34.7,45.0,VCV,15,500,1:2,20
20.16295099258423,12.31,424.2,51.0,26.2,VCV,15,500,1:2,20
20.415233373641968,21.47,486.0,33.6,10.5,VCV,15,500,1:2,20
20.665160417556763,23.78,477.2,5.2,-9.0,VCV,15,500,1:2,20
20.915432453155518,16.23,436.2,33.8,-13.3,VCV,15,500,1:2,20
21.165634393692017,14.2,377.1,37.9,-19.5,VCV,15,500,1:2,20
