pip,peep,driving_pressure,p_auc,decay_rate,decay_half_time,exp_concavity,tau_exp,rise_time,rise_slope,insp_auc,exp_auc,ie_auc_ratio,p_at_half_insp,p_mean,p_std,p_skewness,p_kurtosis,p_rms,zero_cross_rate,label
22.81,-0.03,22.84,99.92,-2.9605952380952356,2.0,0.676964285714286,1.8622745682644175,6.0,3.8066666666666666,55.115,44.80499999999999,1.2301082468474502,4.3,7.157142857142859,8.139046476769893,0.9181811258127991,-0.7146514417904433,10.838301132030399,0.14285714285714285,Normal
24.7,0.37,24.33,106.465,-3.2898809523809502,2.0,0.7377976190476193,1.812514030918976,6.0,4.055,56.655,49.809999999999995,1.1374222043766313,6.06,7.63857142857143,8.428881350234237,0.9300297725964191,-0.6157942455695391,11.375140187519198,0.14285714285714285,Normal
24.33,0.16,24.169999999999998,106.83,-3.395833333333332,2.0,0.7093452380952374,1.8199688931540232,6.0,4.028333333333333,54.025,52.80500000000001,1.0231038727393238,5.82,7.659285714285715,8.399697668271598,0.8430350153415637,-0.8220881841747554,11.367478989267081,0.14285714285714285,Normal
24.1,0.33,23.770000000000003,103.74999999999999,-3.251309523809521,2.0,0.7181547619047619,1.754594601996137,6.0,3.9616666666666673,54.825,48.925000000000004,1.120592743995912,4.15,7.442142857142858,8.389482513047792,0.8910118091979568,-0.7891181887534575,11.214673742149486,0.14285714285714285,Normal
24.33,0.22,24.11,100.61500000000001,-3.237261904761902,2.0,0.7000595238095235,1.6528496132998831,6.0,4.0183333333333335,52.565,48.05,1.093964620187305,5.32,7.20857142857143,8.071098223328239,0.9226025075269129,-0.5546605448086113,10.821558509356615,0.14285714285714285,Normal
24.23,0.16,24.07,109.45,-3.5353571428571398,2.0,0.6910119047619043,1.6169484381097272,6.0,4.011666666666667,55.315000000000005,54.135,1.0217973584557127,5.12,7.8378571428571435,8.687293823717019,0.7571086265083701,-1.0683166869599332,11.700473433644836,0.14285714285714285,Normal
23.96,0.13,23.830000000000002,106.79000000000002,-3.3697619047619014,3.0,0.6484523809523816,1.7554190886289593,6.0,3.971666666666667,53.675,53.115,1.0105431610656121,3.9,7.651428571428573,8.477309931426912,0.7863545637556149,-0.9796215882298074,11.419682257275937,0.14285714285714285,Normal
24.19,0.14,24.05,102.455,-3.4666666666666655,2.0,0.7022619047619045,1.6224294288346257,6.0,4.008333333333334,49.94500000000001,52.51,0.9511521614930492,2.61,7.337142857142858,8.50632825654896,0.8757625330415684,-0.8343278907555525,11.233489471855382,0.14285714285714285,Normal
23.91,0.09,23.82,100.46000000000001,-3.3397619047619025,2.0,0.6373809523809524,1.7512221567987376,6.0,3.97,47.76,52.699999999999996,0.9062618595825427,3.82,7.197857142857143,8.017002627070106,0.8826823127289866,-0.6841767441372708,10.774111498004306,0.14285714285714285,Normal
23.64,0.18,23.46,104.11000000000001,-3.382261904761902,2.0,0.6439880952380943,1.7839987148915126,6.0,3.91,49.879999999999995,54.22999999999999,0.9197860962566846,2.58,7.462857142857141,8.375873880694845,0.8471487912323588,-0.8854901491931146,11.218266354477414,0.14285714285714285,Normal
